Sensor Name,Sensor Centroid Latitude,Sensor Centroid Longitude
PER_AIRMON_MESH1907150,54.996505,-1.558681
PER_AIRMON_MESH1971150,54.991155,-1.583808
PER_AIRMON_MESH1904150,54.998517,-1.588286
PER_AIRMON_MESH1966150,54.957331,-1.690413
PER_AIRMON_MESH1911150,54.98891,-1.577888
PER_AIRMON_MESH1964150,55.022829,-1.45333
PER_AIRMON_MESH1974150,55.011258,-1.566521
PER_AIRMON_MESH1909150,54.965685,-1.603448
PER_AIRMON_MONITOR1157100,54.970093,-1.623043
PER_AIRMON_MESH303245,54.991435,-1.710484
PER_AIRMON_MONITOR1156100,54.912211,-1.585004
PER_AIRMON_MONITOR1056100,54.96565,-1.60341
PER_AIRMON_MONITOR1048100,54.996488,-1.558751
PER_AIRMON_MONITOR1135100,54.979118,-1.617676
PER_AIRMON_MESH305245,55.005077,-1.577439
